id,verb,object,detail
207,extended,file folder detail tag checksum,NA
208,instant,preview,text graphic and audio video content
209,find,file,hyperfilters
209,use,e g locate file,their comment
209,search,keywords,NA
210,detect,cleanup duplicate file,NA
211,manage,many folder,dual pane
211,use,tab,NA
214,touch,date,NA
215,execute,text command,script
215,do,file,NA
216,advanced,ntfs support,NA
217,unicode,text encoding,NA
218,export,file information,a text
219,focus,usability,keyboard shortcut history autocompletion
220,integrate,file search,those lost file
221,integrate,quick launch area,fast access
221,integrate,the program,NA
222,favorite,button,those often used folder
224,require,no installation,no data
224,write,the system registry s configuration information,a local ini file
225,keep,your pen jump drive,NA
226,erase,a whole hard drive,NA
227,integrate,the window shell,NA
231,support,any other type,NA
232,file,the size limit,other software
232,test,our software,file
232,test,no problem,NA
233,make,split file,computer
233,split,our software convenient ting method  file,either desired file size
233,desire,number,NA
234,come,a beautiful new user interface,NA
235,remove,our software,NA
237,launch,explorer,NA
238,search,every kind,drive internal external network cd
239,calculate,the size,the folder
240,search,file,folder
240,search,only folder,NA
241,select,the local or network drive,single drive
242,search,plain text file,binary file
242,look,their raw format,NA
243,specify,the text mask,way word
243,specify,phrase,NA
244,ignore,file,certain type hidden system image audio video
245,select,the date range,the basis
245,select,hour minute,NA
246,append,result,consecutive search
247,multi,select support,order
247,edit,multiple item,g cut copy copy
247,cut,to folder move,NA
248,export,various file format,NA
249,display,the main search filter,the window caption
250,choose,which type,mru item
251,move,file,folder
252,run,window tool,NA
253,display,column title,the first row
254,display,intertitles directory path,NA
255,print,directory,direct printing
255,list,corresponding list,NA
256,export,list,other program
256,copy,the clipboard,NA
257,open,the list,microsoft word
258,disconnect,network drive,NA
259,exit,the program,NA
260,start,program,a directory path
261,start,directory,an explorer
261,start,tree structure,NA
262,start,directory,the path
263,manage,plugins,all type
264,install,plugins,zipped pack
264,zip,nested folder,NA
266,run,restart total commander,NA
267,customize,a menu,home
267,customize,work,NA
268,add,file folder,window explorer
269,access,lt pop up menu,NA
270,click,access,NA
272,view,the file,ftp
272,view,the archive,your local computer
273,browse,your photo and music collection,the random chaos
273,sort,your downloads folder,NA
274,handle,dbf rtf html doc excel,other format
275,include,startup manager,directory size manager
276,access,the folder,NA
277,favorite,ie,NA
278,move,the folder history,file operation view
279,build,file viewer supporting image viewing jpg jpeg bmp gif ico tif tiff png wmf emf pcx tga abdobe photoshop psd text editing web content html,hex
280,think,multithreaded program engine,the handling
280,allow,any number,concurrent file operation copy
281,integrate,support,all common type
281,integrate,compressed file archive zip arj rar ace jar,NA
282,folder,comparison system,two file
282,detect,the change difference,NA
283,support,sftp protocol,support
284,file,synchronization system,your file
284,merge,folder,ftp site
285,find,the folder,too much hd space
286,file,reconstruction,the copy process
286,be,a must,a huge file
286,be,such a a film,NA
287,advanced,search system,local and network disk
287,search,regular expression,NA
288,total,system support,NA
289,build,text viewer feature configurable syntax color highlighting,common programming language
290,method,navigator quick search,a necessary function
290,method,procedure,big huge vast file
291,html,support system quick type feature,the most commonly used tag internet explorer view code completion
292,export,html,rtf
292,rtf,color highlighting,NA
293,be,your source,the web
294,view,edit tag,NA
295,detail,information,video file
296,picture,operation,all popular format
297,build,selection pattern,item
298,file,filter,file
299,drive,bar navigation,all the drive
299,instal,a computer,NA
300,command,efficient everyday use,NA
301,complete,file date information,creation
301,complete,information,a the normal modification date
302,print,folder content,result
302,find,other statistic,NA
303,base,extension,NA
304,support,integration,the desktop
305,have,both the tree view,the two content pane
305,have,the same time,NA
306,multi,functional address bar,folder name
