id,verb,object,detail
1301,picture,file type,gif uncompressed tif tiff
1302,view,text doc word,do wps cd datasnap file
1303,find,phrase letter,number
1303,find,text file,NA
1305,play,wav,mid wma wmv avi mpg mpeg mov flv file
1306,separate,multiple play list,music
1308,be,file viewer,NA
1309,print,a list,all occurrence
1309,print,a file,searchable file type
1309,save,a text file,NA
1310,send,file,file viewer
1310,find,e mail,a stand
1310,use,e mail program,a outlook
1311,receive,file,the internet
1311,receive,same e mail tab,NA
1312,organize,any number,file
1312,organize,group,your own file database
1312,define,easy tabular viewing,quick location
1313,catalog,file,name description search word
1313,catalog,group,NA
1314,organize,your entire disk,one procedure
1314,group,file,NA
1315,spread,sheet,file
1315,use,cataloging,NA
1316,set,your own style,window list box entry field
1316,set,thumbnail,NA
1317,complete,help text,easy program use
1318,window,explorer style interface,supported file
1319,support,source view,adobe pdf file
1320,window,version,m access paradox
1320,m,sqllite database file,NA
1321,create,slide show,photo album
1321,create,music,play list
1322,organize,picture,photo album video
1322,organize,music,play list document text
1323,get,photo,the internet
1325,recursive,calculation,directory structure
1326,result,list,any checksum type
1328,hash,value,hexadecimal or mime compatible mode
1329,display,detailed file property,attribute size
1330,result,list,a csv or html file
1332,statistic,computation average speed rate file size,NA
1333,display,a time,computation
1334,multiple,computation task,the calculation
1335,checksum,calculation,a very big file
1336,maintain,an ini file,the current user s application data directory
1337,compare,file content,accurate result
1339,use,only need click,result
1340,s,type,s
1341,save,load,the result duplicate file
1342,exclude,path,NA
1343,operate,the result,NA
1345,result,size,descending order
1346,mark,the adjacent duplicate file group,different color
1347,set,re attribute,NA
1348,manipulate,date time,stamp
1349,insert,date time information,file name
1350,ideal,tool,your document
1351,use,custom filter,batch process file search file mask
1351,use,date time print folder content,NA
1352,handle,folder,doe
1352,exist,the moment,a usb stick
1352,become,the sync,NA
1353,be,no limitation,the folder
1353,be,the network,NA
1354,ignore,subfolders,NA
1355,let,the application,NA
1356,logging,all the event,NA
1357,sync,jpg file,example file
1357,start,photo unlimited filter rule,folder
1358,handle,file collision overwrite,a new file
1358,create,skip,NA
1359,create,subfolders,photo
1359,create,example,theese
1359,be,both date,the copied file
1359,copy,file creation date,NA
1360,add,a new file prefix,NA
1361,move,file,a folder
1361,move,a any file,all the above possible parameter
1361,contain,the file,one or unlimited amount
1361,transfer,destination folder,NA
1362,unlimited,number,NA
1363,import,eml file,window
1363,export,live mail window mail outlook,mac
1364,import,eml,mac mail
1364,import,accurate email property,cc bcc
1364,receive,date attachment,NA
1366,batch,bulk mode,eml
1366,import,mac mail,NA
1367,split,a file,size
1368,split,a file,number
1369,split,a file,segment
1370,merge,the ripped unit,the file
1371,be,the comfortable admintration,picture
1371,have,many option,the numbering
1371,place,the folder name,NA
1372,insert,new folder,remove folder
1372,number,the parameter,the numbering
1373,add,the folder name,different date time format
1374,like,file name,also folder name
1374,have,an extension,many folder
1374,change,this functionality,the existing folder extension
1374,keep,the folder name,NA
1375,cover,the most usual requirement,the option
1375,apply,this function,folder name
1375,folder,only to  extension,NA
1376,extend,a prefix,the actual core
1377,replace,new character,underline
1378,insert,charakter,free choosable place
1378,insert,the folder name,the possibility
1378,select,the counting,the beginning
1378,start,the end,the file name
1379,move,folder name,new position
1380,provide,the functionality,folder name
1380,assemble,a specific schema,normal text
1380,take,the file name,also so called element tag
1381,determine,a list,customary spreadsheet program
1382,set,delete attribute,date time
1383,create,a folder list,a list
1383,create,folder,winfr folder
1384,open,folder,dialogue
1384,open,drag,other application
1385,define,filter,the open dialog
1386,limit,the system,NA
1387,sort,the preview,the column header
1389,return,any time,a previous status
1389,reject,all modification,NA
1390,cancel,change,folder name
1390,take,time,NA
1391,scripting,functionality,complex renaming action
1391,use,a later time,NA
1392,show,long name,NA
1393,colour,changed folder name,NA
1394,get,position,character
1394,replace,the right position,NA
1396,command,line option,the program
1397,need,the program,NA
1398,take,data,a server
1398,take,a laptop,the road
1398,synchronize,your laptop,the server
1398,return,travel,a large volume
1398,be,only one the file,date
1399,maintain,folder,date
1399,disc,recent change mirroring raid winsynchro,your synchronization
1399,run,interval,time
1400,perform,unidirectional or bidirectional synchronization winsynchro,a a manager
1400,use,automatic or manual backup backup,a only file
1400,be,date,the backup
1401,use,the context menu,all folder
1401,appear,the window,winsynchro
1402,save,the folder,NA
1403,get,a quick and complete overview,the hierachical structure
1403,get,content,a new folder
1404,find,the most recently modified file,a folder hierarchy
1404,modify,document,NA
1405,find,the file,folder
1405,take,the most space,your hard drive
1405,move,a different drive,NA
1406,find,duplicate file file,identical content
1406,find,your document folder,NA
1407,copy,the entire content,one external hard drive
1408,backup,the file,your main hard drive
1408,backup,an external drive,NA
1409,search,file,a paticular name
1410,extract,file,a particular type
1410,extract,example,image file
1410,move,a different root folder,NA
1411,complete,integration,ntfs dfs
1411,complete,active directory administration,a single tool
1412,create,complex search,no need
1412,write,ldap filter,NA
1414,compare,mmc,explorer
1414,increase,your productivity,NA
